filename,source_path,captured_at,width,height,orientation,size_bytes,sha256,direct_observation,likely_place,visual_group,quality_notes,privacy_notes,duplicate_of,confidence,recommended_use,owner_decision
20260826_155243.jpg,C:\Users\aa166\Downloads\Mobile Devices\2026.08.27 大阪城天守閣\20260826_155243.jpg,2026-08-26 15:52:43,4000,2252,landscape,3638707,af3d6866aa90c4208859846076c5a128a02ead03fac565d211d7b36f1c130de9,大阪城本丸入口櫻門（Sakuramon Gate）正面全景，開闊石板步道，兩側巨石石垣，門洞內可見本丸通道與遠方天守閣基座，晴空蔚藍。,大阪城櫻門（本丸南側入口）,護城河、石垣與城門,曝光均衡、對焦銳利、左右石垣對稱大氣，完美展現古城防禦要塞格局。,門洞深處有極微小遠景遊客剪影，無近景可辨識人物。,,high,body,approved
20260826_155427.jpg,C:\Users\aa166\Downloads\Mobile Devices\2026.08.27 大阪城天守閣\20260826_155427.jpg,2026-08-26 15:54:27,4000,2252,landscape,3408945,3d38623d6166668a5a3bc4fee56fcacaf8692fdaa5335ded9cfd99203d7c8655,本丸廣場東側視角，右側為舊陸軍第四師團司令部廳舍（舊大阪市立博物館／現 MIRAIZA OSAKA-JO）近代紅磚石造拱門，左側為大阪城天守閣全貌與庭園綠樹。,大阪城本丸廣場（MIRAIZA OSAKA-JO 前）,大阪城天守閣外觀,近代西洋近代建築與傳統日式天守閣同框，具強烈歷史層次反差，色彩鮮明。,無可辨識人物。,,high,gallery,approved
20260826_160406.jpg,C:\Users\aa166\Downloads\Mobile Devices\2026.08.27 大阪城天守閣\20260826_160406.jpg,2026-08-26 16:04:05,4000,2252,landscape,3337126,b8419d3cedd0947d07d73383c51d223a629a80ac395f225f0b76d8f928aef78f,從大阪城天守閣八樓頂層展望台向東南側俯瞰，大阪城公園整片綠意森林、本丸廣場、MIRAIZA 古建築、遠方大阪市區現代高樓天際線，左下角帶有天守閣屋簷金色「伏虎／金箔」裝飾。,大阪城天守閣八樓展望台（東南向視角）,八樓展望台與大阪市景,開闊之 16:9 橫幅全景，金箔屋簷細節與現代城市天際線對比強烈，適合支撐登上八樓段落。,地面遊客為微小遠景點狀，無隱私疑慮。,OSAKA-CASTLE-OBS-01 (Winner),high,body,approved
20260826_160419.jpg,C:\Users\aa166\Downloads\Mobile Devices\2026.08.27 大阪城天守閣\20260826_160419.jpg,2026-08-26 16:04:19,4000,2252,landscape,3009231,dff2780a066b263b9815751944050842c6a809e85cf99cbc4d1447fb206eb2a5,從天守閣八樓展望台向西側俯瞰，大片平整綠色草坪、外圍石垣與護城河樹林，遠方為大阪市區高層辦公大樓群天際線與夏日積雲。,大阪城天守閣八樓展望台（西向視角）,八樓展望台與大阪市景,開闊市景，但畫面層次單純（草坪與大樓），故事性稍遜於納入金色屋簷與歷史建物的 160406。,無可辨識人物。,OSAKA-CASTLE-OBS-01 (Loser),high,gallery,approved
20260826_160810.jpg,C:\Users\aa166\Downloads\Mobile Devices\2026.08.27 大阪城天守閣\20260826_160810.jpg,2026-08-26 16:08:10,4000,2252,landscape,2959983,ec0a4ab0d5decb162502c7e1d66b997781b99f6571ab03f1c273171e749c5ea8,天守閣內部歷史展覽：透視模型與全息投影展示（演繹豐臣秀吉與大阪城築城／戰國合戰歷史情境縮影）。,大阪城天守閣內部展覽廳,天守閣內部／展覽,室內展品模型翻拍，光線偏暗，有些微投影反光，但能清晰證明內部現代博物館型態。,無人物。,,high,gallery,approved
20260826_161025.jpg,C:\Users\aa166\Downloads\Mobile Devices\2026.08.27 大阪城天守閣\20260826_161025.jpg,2026-08-26 16:10:25,4000,2252,landscape,3541420,8bdeea9b15d71b00eec651bad3feec7a4c48a55027c91ed055ef68044c1f81d1,天守閣內部展品：『大坂夏之陣屏風圖』微縮立體模型特寫，精緻重現「松平忠直隊」騎兵持金色軍旗交戰與人馬動態場景。,大阪城天守閣內部展覽廳,天守閣內部／展覽,戰國模型細節精緻，軍旗文字標籤『松平忠直隊』清晰，完美對應母稿戰國人物記憶。,無人物。,,high,body,approved
20260826_162442.jpg,C:\Users\aa166\Downloads\Mobile Devices\2026.08.27 大阪城天守閣\20260826_162442.jpg,2026-08-26 16:24:42,2252,4000,portrait,3463305,b56d25aff7d059412cd1d1a3e0d297bd3f1ac13cf27eb3e26bcb688ff7f1817e,大阪城天守閣正面近景直式仰角，白牆、綠色銅瓦、純金金箔飛鳥與伏虎裝飾直插晴朗藍天與白雲，下方為石階參道與遊客身影。,大阪城天守閣正面廣場石階下,大阪城天守閣外觀,【Hero 候選 2】直式天守閣代表作，垂直拔升感極強，色彩飽滿純淨，天守閣氣勢磅礡。,底部有少數遊客背影與遠景側身，無近距離清晰正臉。,,high,hero,approved
20260826_163329.jpg,C:\Users\aa166\Downloads\Mobile Devices\2026.08.27 大阪城天守閣\20260826_163329.jpg,2026-08-26 16:33:29,2252,4000,portrait,3742966,0c430d019c47c8ea074f707040aa7724e27ec40c9e8e6bec755fa8fbcb196313,透過步道上方茂密綠葉枝椏前景框取大阪城天守閣與石垣基座（直式構圖），石垣下方帶有鐵欄杆步道。,大阪城山里丸／極樂橋附近步道,大阪城天守閣外觀,直式樹框構圖，但兩側略顯侷促且枝葉遮擋偏多，視覺張力不及橫幅 163335。,遠景步道上有極微小遊客。,OSAKA-CASTLE-FRAME-01 (Loser),high,reject,rejected
20260826_163335.jpg,C:\Users\aa166\Downloads\Mobile Devices\2026.08.27 大阪城天守閣\20260826_163335.jpg,2026-08-26 16:33:35,4000,2252,landscape,3952269,a790cf67dddaa48e1ddf04860060400bd1d73f8c7f5119bdcd8530446ac4d562,左右兩側深綠林蔭自然形成對稱畫框，中景為層疊陡峭之巨大石垣基座與通道，後方完整矗立白綠相間之大阪城天守閣與蔚藍天空。,大阪城山里丸／極樂橋附近步道,大阪城天守閣外觀,經典明信片級 16:9 橫幅樹框風景，天守閣、石垣與青翠綠樹比例完整，適合橫式燈箱。,遠景步道邊緣有微小遊客剪影。,OSAKA-CASTLE-FRAME-01 (Winner),high,gallery,approved
20260826_163726.jpg,C:\Users\aa166\Downloads\Mobile Devices\2026.08.27 大阪城天守閣\20260826_163726.jpg,2026-08-26 16:37:26,2252,4000,portrait,4054598,7e1630d2c62a4afb68ef84be2e559d50d4c29ec210a88bcd4d33229c91724ce6,大阪城本丸日本庭園池塘水面直式倒影，平靜清澈的池水完整映出大阪城天守閣、周圍修剪整齊之松柏灌木與石燈籠、藍天白雲倒影。,大阪城本丸日本庭園,大阪城天守閣外觀,直式倒影代表作，水面倒影清晰如鏡，日式庭園禪意與天守閣雄偉完美結合。,無人物。,,high,body,approved
20260826_163826.jpg,C:\Users\aa166\Downloads\Mobile Devices\2026.08.27 大阪城天守閣\20260826_163826.jpg,2026-08-26 16:38:26,3782,2128,landscape,2015815,81af4c1995e4ee29ccf8a036fd2e8e55fa79809572a88f611d367d42613ae1db,大阪城本丸日本庭園池塘水面橫幅倒影（中景視角），池畔石岸、石燈籠、蒼松翠柏與池中天守閣倒影。,大阪城本丸日本庭園,大阪城天守閣外觀,作者指定 Hero；大阪城主體辨識清楚，庭園與池面形成三層景深，並保留足夠天空放置標題。,無人物。,,high,hero,approved
20260826_164632.jpg,C:\Users\aa166\Downloads\Mobile Devices\2026.08.27 大阪城天守閣\20260826_164632.jpg,2026-08-26 16:46:32,4000,2252,landscape,3619295,a75dfc687a92e83e7b4f65451cccdb54004bfbea749c8e015ed6d8f6295f5ddf,大阪城本丸日本庭園超廣角橫幅全景，整片開闊池塘水面宛如明鏡，完美倒映兩側蒼松林木、石岸與遠方高聳天守閣全貌，晴空萬里。,大阪城本丸日本庭園,大阪城天守閣外觀,超廣角橫幅倒影，水面無波、構圖開闊；大阪城主體較小，適合正文或燈箱，不作 Hero。,無人物。,,high,body,approved
20260826_164917.jpg,C:\Users\aa166\Downloads\Mobile Devices\2026.08.27 大阪城天守閣\20260826_164917.jpg,2026-08-26 16:49:17,2252,4000,portrait,3472480,e34e9b2a7121a54be45c9ece8cbfcef0ee2d96cfb9fe922fd3134f3c6e919f6b,作者本人站在大阪城日本庭園池畔石板路上留影（戴帽子、白色運動 Polo 衫、黑色長褲、左手比出手勢），背景為池塘倒影與大阪城天守閣。,大阪城本丸日本庭園,離開大阪城,作者清晰全身正面照，光線均勻，背景天守閣與池塘倒影清澈。,【重要人物隱私】作者本人清晰全身正面照。依 Editorial Guide 規範，人物照需經作者授權核准方可公開，預設標記待作者決策（owner_decision）。,,high,gallery,approved
20260826_165109.jpg,C:\Users\aa166\Downloads\Mobile Devices\2026.08.27 大阪城天守閣\20260826_165109.jpg,2026-08-26 16:51:09,4000,2252,landscape,3562939,d63a6308152675cf800e9eb7b47139db9b4d8072daf3ea35b572f53f0ff1a2af,從本丸寬敞平坦之林蔭主幹道正前方遠眺大阪城天守閣全景，兩側綠樹成蔭，天空湛藍浮雲悠悠。,大阪城本丸林蔭大道（往出入口方向回望）,離開大阪城,對稱平穩之林蔭大道遠眺天守閣，具備絕佳的離開與段落收束視覺語彙。,無近景人物。,,high,body,approved
20260826_165331.jpg,C:\Users\aa166\Downloads\Mobile Devices\2026.08.27 大阪城天守閣\20260826_165331.jpg,2026-08-26 16:53:31,2252,4000,portrait,2356900,f47785df8045d24130d46616a3aef10bae8b889360ab90e9c38610c998f40223,大阪城紀念品商店／展示走廊前，全套黑衣蒙面、手持武士刀、擺出格鬥姿態的『忍者假人道具模型（Ninja mannequin）』。,大阪城本丸 MIRAIZA／伴手禮店走廊,離開大阪城,旅遊趣味花絮特寫，室內自然光，主體清晰有趣。,為假人道具模型，非真人。,,high,gallery,approved
20260826_180858.jpg,C:\Users\aa166\Downloads\Mobile Devices\2026.08.27 大阪城天守閣\20260826_180858.jpg,2026-08-26 18:08:58,2252,4000,portrait,3742451,9a856d4d47d3b67ccb0e7c4ab50a494334693d9c3f42e99db53d180aa56da921,晚餐頂級烤鰻魚飯特寫：傳統黑紅相間長方形漆器便當盒（重箱）中，盛裝烤得金黃焦香、淋滿濃稠琥珀色醬汁的蒲燒鰻魚鋪滿白飯，右上角附醬菜與佐料碟，背景為日式吧台與菜單。,天神橋筋商店街『魚伊 天五店』,鰻魚飯／晚餐,微距美食特寫，鰻魚油脂光澤誘人，色溫溫暖，完美作為當日行程最終美味收束之核心證據。,無人物。,,high,body,approved
