filename,sha256,captured_at,effective_width,effective_height,orientation,scope,scene_cluster,people,quality_score,technical_flags,near_duplicate_group,is_group_best,editorial_role,gallery_group,confidence,story_evidence,notes
20260824_212544.jpg,d98fe9b7dee3103557cede93780fb30a5c06ee95c19f744a05598e806a3828a6,2026-08-24 21:25:44,4000,2252,landscape,unrelated,other,none,3,sharp,OSAKA-NIGHT-01,true,omit,none,high,前夜（8/24）大阪市區高樓遠眺梅田方向璀璨夜景。,8/24 前夜大阪夜景，非 8/25 鞍馬貴船當日行程，判定為 unrelated 予以淘汰。
20260824_212556.jpg,b4d276dc60535cb12a122ed2ea77791c9639bf9403e324533f983c103ff03b56,2026-08-24 21:25:56,4000,2252,landscape,unrelated,other,none,2,sharp,OSAKA-NIGHT-01,false,omit,none,high,前夜（8/24）大阪市區高樓夜景不同構圖。,OSAKA-NIGHT-01 連拍次佳張，視角略為偏向側面建物，淘汰。
20260824_212848.jpg,f48aa0688e511254e3793cc94cc4482550b6c78396542393a54b8bcccccfbb99,2026-08-24 21:28:48,4000,2252,landscape,unrelated,other,none,2,obstruction,OSAKA-NIGHT-01,false,omit,none,high,前夜（8/24）大阪市區高樓夜景，帶有窗框與平台反光結構。,OSAKA-NIGHT-01 連拍候補張，前景有玻璃反光與窗台邊框遮蔽，淘汰。
20260825_070306.jpg,863548fa4b49df871edf7a5ae86fa57d7ebbb4d19b83093a0e9581d45ab75ee4,2026-08-25 07:03:06,2252,4000,portrait,kurama_kifune,osaka_departure,tourist,3,sharp,,true,omit,none,high,清晨 07:03 大阪車站/京橋方向月台發車時刻電子螢幕與通勤旅客。,記錄清晨大阪出發時刻，但月台畫面美感與識別度一般，正文與燈箱省略。
20260825_081634.jpg,a7d55c2c96c1e6f190117950634b8fb225023a4fa77d894e146dff1a40ce038d,2026-08-25 08:16:34,2252,4000,portrait,kurama_kifune,train_to_kurama,none,3,sharp,EIDEN-TRAIN-EXT-01,false,omit,none,high,出町柳站月台停靠之叡山電車車廂側面。,EIDEN-TRAIN-EXT-01 候補張，車體角度較斜且有月台陰影，不及 #6 完整，淘汰。
20260825_081722.jpg,e9a9e944e07c82c7c435b51d7d897a44b6a30964caa9639e9a74bf1ddcbc8577,2026-08-25 08:17:22,2252,4000,portrait,kurama_kifune,train_to_kurama,none,4,sharp,EIDEN-TRAIN-EXT-01,true,gallery_only,portrait,high,出町柳站對向月台停靠之經典綠色叡山電車（青紅葉塗裝）。,EIDEN-TRAIN-EXT-01 勝出張，清晰捕捉叡電綠色車體與木造月台燈籠氛圍。
20260825_081750.jpg,8594bb51d3a107ed6a993687f6922f0aa0f2e134dd58e0f861cb9aa6c0f436de,2026-08-25 08:17:50,2252,4000,portrait,kurama_kifune,train_to_kurama,none,3,sharp,,true,omit,none,high,叡山電車駕駛室前方擋風玻璃望向市區鐵軌分岔點。,市區段鐵軌展望，尚未進入山林綠色隧道，構圖偏紀實，省略。
20260825_084921.jpg,7c3da629bdfee929c9ba805f72cd3e1235c26da069db72c0721024bc13101877,2026-08-25 08:49:21,2252,4000,portrait,kurama_kifune,train_to_kurama,none,4,sharp,,true,body_anchor,portrait,high,叡山電車穿梭於青紅葉綠色隧道，陽光自枝葉間穿透鐵軌延伸至遠山。,正文敘事第 1 段錨點（前往鞍馬），完美呈現開往洛北山林的沉浸式展望視角。
20260825_085221.jpg,8f2d73bb17202ed316ddcede7ab0735bde1e7d97426b903ca0f5d08c4dde62ff,2026-08-25 08:52:21,2252,4000,portrait,kurama_kifune,train_to_kurama,none,3,sharp,EIDEN-WINDOW-01,false,omit,none,high,電車內部金屬車窗框望向彎道綠林鐵道。,EIDEN-WINDOW-01 候補張，窗框反光較多，淘汰。
20260825_085322.jpg,083a837766ec58e08bb857f5bcbfcc72b9b9f44badb9faaad448adf00ac682ee,2026-08-25 08:53:22,2252,4000,portrait,kurama_kifune,train_to_kurama,none,3,sharp,EIDEN-WINDOW-01,false,omit,none,high,車窗望向直行鐵軌與兩側紅花綠樹。,EIDEN-WINDOW-01 候補張，構圖平淡，淘汰。
20260825_085410.jpg,1acd0c3183d84fd66c80600d8d5ced623924057c24a08f18b603ba0da1c5d23a,2026-08-25 08:54:10,2252,4000,portrait,kurama_kifune,train_to_kurama,none,3,sharp,EIDEN-WINDOW-01,false,omit,none,high,車廂內縮視角框取即將抵達之鞍馬站終點月台。,EIDEN-WINDOW-01 候補張，車門邊框佔比過大，不及 #12 緊湊，淘汰。
20260825_085413.jpg,69c9def445df9f429ef3a2a561f6b43b777cbce664550b43a4e57213ffe82ade,2026-08-25 08:54:13,2252,4000,portrait,kurama_kifune,train_to_kurama,none,4,sharp,EIDEN-WINDOW-01,true,gallery_only,portrait,high,透過車窗框景清晰望見鞍馬站木造站房與終端式月台。,EIDEN-WINDOW-01 勝出張，窗景畫框感極佳，記錄抵達終點站瞬間。
20260825_085526.jpg,3721779936288a7f714711f46c6fa9ac082b95bf1aa3ff4f4ab6680b24215f90,2026-08-25 08:55:26,2252,4000,portrait,kurama_kifune,kurama_station_tengu,none,4,sharp,,true,gallery_only,portrait,high,鞍馬站月台木造大屋頂立柱上懸掛之朱紅天狗面具。,獨特細節特寫，呈現鞍馬作為天狗之鄉的月台玄關意象。
20260825_085555.jpg,46e6ffeafb73dd6ae0a90db5650b280784e7d9ae31e16033b5d4787969eb18b1,2026-08-25 08:55:55,2252,4000,portrait,kurama_kifune,kurama_station_tengu,none,3,sharp,,true,omit,none,high,水藍色叡山電車停靠於鞍馬終端月台止衝擋盡頭。,月台終端紀錄張，已收錄綠色叡電 #6 與車窗 #12，為避免車輛篇幅過重予以省略。
20260825_085618.jpg,04b900789474f4f932b53bded8ce89b81290313f9d395fdfef3b2226d577b9fc,2026-08-25 08:56:18,2252,4000,portrait,kurama_kifune,kurama_station_tengu,none,3,sharp,,true,omit,none,high,鞍馬車站候車室內的天狗面具與歷史繪卷展示板。,站內文史展示紀錄，內容稍顯雜亂，省略。
20260825_085636.jpg,f04ec73ab7548db9b574c34b4b7f0d4418c323b0050373e7a8933c628c2a0513,2026-08-25 08:56:36,2252,4000,portrait,kurama_kifune,kurama_station_tengu,none,4,sharp,KURAMA-TENGU-01,false,gallery_only,portrait,high,鞍馬站前二代巨大大天狗雕像直式仰角特寫。,KURAMA-TENGU-01 直式候選張，因橫式 #17 獲選為正文錨點，此張作為直式燈箱補充。
20260825_085651.jpg,d6b6df79af9c4a66f06cab036c5de037a1782905601cece395439fdf2c1a55a2,2026-08-25 08:56:51,4000,2252,landscape,kurama_kifune,kurama_station_tengu,none,5,sharp,KURAMA-TENGU-01,true,body_anchor,landscape,high,鞍馬站前廣場、木造站房、巨大紅臉長鼻大天狗與後方翠綠山林全景。,KURAMA-TENGU-01 勝出張。正文第 2 段錨點（抵達鞍馬），經典橫幅構圖納入站房與退役電車。
20260825_085838.jpg,e81469553144573e72ec16b37cbf8cce719e2ce8ef3b8e7b5c7c2a0e4b88db96,2026-08-25 08:58:38,2252,4000,portrait,kurama_kifune,kuramadera_approach,tourist,3,sharp,,true,omit,none,high,鞍馬寺山門前石階步道與導覽立牌，登山遊客背影。,參道起點階梯紀錄，前方有白色告示牌略微遮擋視覺重心，省略。
20260825_085939.jpg,cfcd659abd2a4cf425f686e55798de0640aeeaf82b5b4ae3a4d08b1bc557c282,2026-08-25 08:59:39,2252,4000,portrait,kurama_kifune,kuramadera_approach,none,4,sharp,,true,gallery_only,portrait,high,石板參道兩側排列朱紅春日燈籠，筆直導向仁王門。,透視線優美之直式參道引導畫面。
20260825_090010.jpg,198fb719dc8c73b482b4185d2e4beff9c4516abe5d1aa5957c21a7fcdf488196,2026-08-25 09:00:10,4000,2252,landscape,kurama_kifune,kuramadera_approach,tourist,5,sharp,,true,body_anchor,landscape,high,鞍馬寺仁王門（山門）正面宏偉全景，石階兩側朱紅燈籠與義經祭布條。,正文第 3 段錨點（鞍馬寺山門），大氣橫幅呈現莊嚴山門入口與鞍馬山匾額。
